fid,InputID,TargetID,Distance
"301","99164","71957",2393476.77739556
"302","99164","73135",2071767.96376434
"303","99164","73139",2066164.02744245
"304","99164","71958",2421033.96946596
"305","99164","73141",2064531.66488635
"306","99164","71959",2392789.70181567
"307","99164","73142",2041005.67797369
"308","99164","94133",1081620.61768205
"309","99164","94134",1090450.79985797
"310","99164","94158",1084475.27801866
"311","99164","94301",1110706.93369875
"312","99164","94303",1109059.11636813
"313","99164","94304",1117936.97359649
"314","99164","94305",1114157.5832806
"315","99164","94306",1113083.01030955
"316","99164","94401",1102113.15982743
"317","99164","94402",1106355.92841658
"318","99164","94403",1105706.86213672
"319","99164","94404",1102769.89536428
"320","99164","94501",1080474.30104441
"321","99164","94502",1083251.95570334
"322","99164","94503",1037702.52905756
"323","99164","94505",1049774.56997188
"324","99164","94506",1065377.75377393
"325","99164","94507",1064477.1028313
"326","99164","42440",2656038.33344535
"327","99164","48801",2566297.3909929
"328","99164","42441",2634079.51948142
"329","99164","39563",3053866.68041844
"330","99164","48806",2587497.74328943
"331","99164","42442",2658447.50706729
"332","99164","48807",2595799.059368
"333","99164","48808",2605275.4723542
"334","99164","48809",2534025.20811723
"335","99164","42445",2633730.00639133
"336","99164","39564",3039310.66748019
"337","99164","48811",2560364.46239718
"338","99164","42450",2624523.2030243
"339","99164","39565",3026726.94325306
"340","99164","42451",2623448.09663281
"341","99164","42452",2624467.80569672
"342","99164","42453",2650758.28236861
"343","99164","39567",3060527.68747722
"344","99164","48813",2584799.46641856
"345","99164","42455",2629720.74983417
"346","99164","48815",2542874.17424383
"347","99164","48816",2645423.92654345
"348","99164","42456",2637625.48167745
"349","99164","42458",2623662.8820462
"350","99164","48817",2628982.39375712
"351","99164","48818",2553937.21452669
"352","99164","42459",2596031.38762382
"353","99164","95834",966833.0947325
"354","99164","95835",964010.706965467
"355","99164","95837",962928.545765856
"356","99164","95838",964088.45140007
"357","99164","95841",959793.031515192
"358","99164","95842",957079.338997909
"359","99164","95843",954503.833895251
"360","99164","95864",968481.601017076
"361","99164","95901",905810.198515693
"362","99164","95903",914329.661894384
"363","99164","95910",859479.67446286
"364","99164","95912",945739.737188739
"365","99164","95914",882323.921495209
"366","99164","95915",819115.39442431
"367","99164","37351",2953606.31763329
"368","99164","37352",2861113.15637516
"369","99164","33597",3648940.54606475
"370","99164","37353",2972821.58688136
"371","99164","33598",3700756.06185865
"372","99164","37354",2995910.74270792
"373","99164","33602",3667753.31450001
"374","99164","33603",3664754.69223602
"375","99164","37355",2866878.22210461
"376","99164","33604",3662988.17295387
"377","99164","37356",2903684.51086146
"378","99164","37357",2873832.6221322
"379","99164","37359",2861860.49001273
"380","99164","37360",2858181.67262172
"381","99164","37361",2996375.85242189
"382","99164","53526",2148940.07389934
"383","99164","61842",2399479.49192663
"384","99164","53527",2233518.38961833
"385","99164","61843",2417054.92950973
"386","99164","53528",2197236.12083166
"387","99164","53529",2202001.98670311
"388","99164","61844",2464909.4640076
"389","99164","61845",2412963.84928139
"390","99164","53530",2178185.28768329
"391","99164","61846",2492726.25478876
"392","99164","53531",2240490.06860532
"393","99164","61847",2445156.24007279
"394","99164","61848",2469164.2446998
"395","99164","61849",2464426.06450334
"396","99164","61850",2485455.86821411
"397","99164","61851",2431149.2507231
"398","99164","53532",2216303.64916685
"399","99164","61852",2461313.46378966
"400","99164","61853",2419265.82092109
"401","99164","53533",2163210.13143928
"402","99164","61854",2412008.60061295
"403","99164","61855",2416004.06473437
"404","99164","53534",2249791.03553658
"405","99164","61856",2416793.91539033
"406","99164","61857",2468161.31267996
"407","99164","53536",2239674.34844242
"408","99164","02536",3714045.89989872
"409","99164","02537",3717437.85793839
"410","99164","02538",3699446.91420597
"411","99164","02539",3727677.30533976
"412","99164","02540",3710465.84672528
"413","99164","02542",3710637.34533626
"414","99164","02543",3704519.40093162
"415","99164","02553",3704649.02051196
"416","99164","02554",3764381.74673626
"417","99164","02556",3707604.81276913
"418","99164","02557",3720818.97443736
"419","99164","02558",3700603.30644343
"420","99164","02559",3705917.3631309
"421","99164","02561",3708591.97943765
"422","99164","02562",3708205.42665054
"423","99164","02563",3714988.77795773
"424","99164","02564",3773810.17813821
"425","99164","75137",2324909.46434038
"426","99164","75140",2401142.17620048
"427","99164","75141",2338026.96298365
"428","99164","75142",2371702.06181851
"429","99164","75143",2388884.93613037
"430","99164","75144",2412046.39838999
"431","99164","75146",2339900.53116224
"432","99164","75147",2393969.27796099
"433","99164","75148",2423458.4521892
"434","99164","75149",2332365.05805211
"435","99164","75150",2327636.04616356
